what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1320259697347
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320259697348
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1320259697350
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1320259697351
os,sysinfo,,,"win32",1320259697354
arch,sysinfo,,,"x86",1320259697354
ws,sysinfo,,,"win32",1320259697354
locale,sysinfo,,,"de_CH",1320259697354
processors,sysinfo,,,"2",1320259697354
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320259697354
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1320259697354
java.specification.name,sysinfo,,,"Java Platform API Specification",1320259697354
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320259697354
java.specification.version,sysinfo,,,"1.6",1320259697354
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1320259697354
java.version,sysinfo,,,"1.6.0_26",1320259697354
java.vm.info,sysinfo,,,"mixed mode, sharing",1320259697354
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1320259697354
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1320259697354
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1320259697354
java.vm.specification.version,sysinfo,,,"1.0",1320259697354
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1320259697354
java.vm.version,sysinfo,,,"20.1-b02",1320259697354
activated,view,org.eclipse.scout.sdk.ui,3.7.0.201106070527,"org.eclipse.scout.sdk.ui.internal.view.outline.ScoutExplorerPart",1320259714464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320259731264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320259732670
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1320259733458
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1320259733693
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1320259733803
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320259733856
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320259733900
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.navigate.open.type",1320259733978
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1320259734590
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1320259734630
activated,view,org.eclipse.scout.sdk.ui,3.7.0.201106070527,"org.eclipse.scout.sdk.ui.internal.view.outline.ScoutExplorerPart",1320259737575
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320259737576
